comment_id,username,comment_text,is_offensive,offense_type,explanation,severity
175,HarasserHannah,"You're so ugly and stupid, no wonder nobody likes you, go kill yourself.",True,profanity,Flagged by better_profanity,1
176,SpamBot3000,"Make money fast, click this link to earn $1000 per day: https://spamlink.com",False,,"The comment is a spam advertisement promoting a money-making scheme and does not contain any profanity, hate speech, toxicity, or harassment.",
177,NeutralNancy,"I'm not sure about this update, I need to play it more to decide if I like it or not.",False,,"The comment expresses uncertainty about an update and indicates a need for more experience before forming an opinion. It does not contain any offensive language, hate speech, or harassment.",
178,RacistRachel,"I don't think people of that race should be allowed to play this game, they're too aggressive.",True,hate speech,"The comment expresses a discriminatory view against a specific race, suggesting they should be excluded from playing the game based on a stereotype of aggression.",5
179,TrollTerry,"This game is so bad, I'm going to make a YouTube video roasting it and all the stupid players who still play it.",True,profanity,Flagged by better_profanity,1
180,LilyLove22,"I absolutely adore this new product, it's been a game-changer for me!",False,,The comment expresses positive feedback about a product without any offensive language or intent.,
181,SarcasticSally,"Wow, great job on this release, said no one ever, what a complete disaster.",True,toxicity,"The comment expresses strong negativity and sarcasm towards the release, indicating a rude and dismissive attitude, which qualifies as toxic.",3
182,TechNoob2020,"I'm having trouble understanding the instructions, can someone please help me out?",False,,The comment is a request for help and does not contain any offensive content.,
183,HateSpeechHarry,"People from that country are ruining our economy and taking our jobs, we need to take a stand against them.",True,hate speech,"The comment expresses a negative stereotype about people from a specific country, suggesting they are responsible for economic issues, which promotes division and hostility.",4
184,ProfanityPam,"This stupid product is a freaking waste of money, don't freaking buy it, it's crap.",True,profanity,Flagged by better_profanity,1
185,SpammySam,"Check out this amazing opportunity to make money from home, click the link in my bio to learn more.",False,,"The comment promotes an opportunity to make money from home and does not contain any offensive language, hate speech, or harassment.",
186,Harasser2000,"You're an idiot for thinking that, no one agrees with you, you're just a troll.",True,toxicity,"The comment includes insults and dismissive language, labeling the other person as an 'idiot' and a 'troll', which reflects rudeness and a lack of respect.",3
187,NeutralNancy,"I'm not sure about this product, I need to do some more research before I make a decision.",False,,"The comment expresses uncertainty about a product and indicates the need for further research, which is a neutral and constructive statement.",
188,ToxicTom,"You're so dumb for buying this product, it's a total rip-off, what a waste of money.",True,toxicity,"The comment contains derogatory language that insults the intelligence of the person who bought the product, labeling them as 'dumb' and calling the product a 'rip-off.' This reflects a rude and dismissive attitude.",3
189,JokesterJim,"I'm not offended by anything, except for people who get offended by everything, those people are the worst.",True,toxicity,"The comment expresses disdain for a specific group of people (those who get offended easily), which can be seen as dismissive and rude. This contributes to a toxic environment by invalidating others' feelings.",3
190,EmilyWong22,"I loved this movie, it's so inspiring and uplifting!",False,,The comment expresses a positive opinion about a movie and contains no offensive language or sentiments.,
191,SarcasticSam,"Wow, what a great example of exceptional filmmaking, said no one ever.",False,,"The comment expresses a negative opinion about filmmaking but does not contain profanity, hate speech, toxicity, or harassment.",
192,TechNoLogic,"This product is amazing, I've been using it for years and it's never failed me.",False,,The comment expresses a positive opinion about a product without any offensive language or intent.,
193,Hater3000,"You're an idiot for thinking this is a good idea, it's the worst thing I've ever seen.",True,toxicity,The comment contains an insult ('You're an idiot') which is a form of rudeness and disrespect towards the recipient's opinion.,3
194,ProfanePam,"This is freaking awesome, I don't care what the haters say, it's damn good!",True,profanity,Flagged by better_profanity,1
195,SpamBot2022,"Make money fast, click this link to earn thousands of dollars in just one day: http://getrichquick.com",False,,"The comment promotes a get-rich-quick scheme but does not contain any profanity, hate speech, toxicity, or harassment.",
196,ToxicTom,"You're just a loser if you can't handle a little criticism, stop being so sensitive.",True,toxicity,"The comment includes an insult ('loser') and dismisses the other person's feelings, which is considered toxic behavior.",3
197,NeutralNancy,"I'm not sure about this, it's okay I guess, but it's not really my thing.",False,,The comment expresses a personal opinion without using any offensive language or targeting any individual or group.,
198,HateSpeechHarry,"People from that country are just not good at making movies, they should just stick to what they're good at.",True,hate speech,"The comment generalizes negatively about a specific nationality's ability in filmmaking, implying inferiority and suggesting they should not pursue certain professions, which can be considered a form of hate speech.",4
199,HarassingHannah,"You're so stupid for thinking that, I'm going to keep commenting until you agree with me, you're just wrong.",True,profanity,Flagged by better_profanity,1
200,HappyHelen,"I love this product, it's amazing!",False,,The comment expresses a positive opinion about a product and contains no offensive language or content.,
